Strategy        |World           |Time    |Score           |Undisco |Uncheck |NumPers 
TestFile2017    |default         |300     |5.509146E7      |5       |8       |2       
TestFile2017    |default         |300     |3.3086116E7     |5       |8       |2       
TestFile2017    |default         |300     |1.1093166E7     |5       |8       |2       
TestFile2017    |default         |300     |1.0093191E7     |5       |8       |2       
TestFile2017    |default         |300     |3.6094643E7     |5       |8       |2       
TestFile2017    |zigzag          |300     |1.0076245E7     |0       |0       |0       
TestFile2017    |SimpleMap       |300     |1.0037513E7     |2       |4       |0       
TestFile2017    |zigzag          |300     |1.0076245E7     |0       |0       |0       
0000_TEST       |default         |300     |2648107.0       |1       |3       |2       
TestFile2017    |default         |300     |7.0093775E7     |5       |7       |2       
TestFile2017    |default         |300     |7.0093775E7     |5       |7       |2       
TestFile2017    |default         |300     |1.1090873E7     |5       |7       |2       
TestFile2017    |zigzag          |300     |1002521.0       |1       |0       |0       
0000_TEST       |default         |300     |2648107.0       |1       |3       |2       
A-Team          |default         |300     |1.0092785E7     |5       |8       |2       
A-Team          |happy_map       |300     |1.00105E7       |0       |0       |0       
A-Team          |happy_map       |300     |1.0010326E7     |0       |0       |0       
A-Team          |happy_map       |300     |1.9010195E7     |0       |0       |0       
A-Team          |happy_map       |300     |1.8010185E7     |0       |0       |0       
A-Team          |happy_map       |300     |1.8010185E7     |0       |0       |0       
A-Team - Copy   |mappa_triste    |300     |3.2013775E7     |0       |0       |0       
A-Team - Copy   |mappa_triste    |300     |3.2013775E7     |0       |0       |0       
A-Team          |world-25x25-10D |500     |4.90698181E8    |18      |45      |2       
A-Team          |default         |300     |3.7060962E7     |3       |8       |2       
A-Team          |TEST_SoundDebri |300     |1.0022202E7     |0       |0       |0       
A-Team          |TEST_SoundDebri |300     |1.0022202E7     |0       |0       |0       
A-Team          |TEST_SoundDebri |300     |1.0022202E7     |0       |0       |0       
A-Team          |TEST_SoundDebri |300     |1.0022202E7     |0       |0       |0       
A-Team          |TEST_Debris     |300     |1.0038385E7     |1       |0       |0       
A-Team          |default         |300     |1.0040683E7     |1       |2       |2       
